Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-9.40000000E+01	-4.26748333E+01	-3.99951111E+01	-3.98245811E+01	-3.92128434E+01	-3.91721467E+01	-3.95615978E+01	-4.01839479E+01	-4.03380791E+01	-4.04810446E+01	
-9.30000000E+01	-4.20691715E+01	-3.95158696E+01	-3.92961071E+01	-3.87262019E+01	-3.87154241E+01	-3.90954826E+01	-3.96989068E+01	-3.98481657E+01	-3.99849423E+01	
-9.20000000E+01	-4.16654308E+01	-3.91797410E+01	-3.89384568E+01	-3.83965088E+01	-3.84056873E+01	-3.87738606E+01	-3.93563922E+01	-3.95002436E+01	-3.96305016E+01	
-9.10000000E+01	-4.14496847E+01	-3.89845053E+01	-3.87429947E+01	-3.82175227E+01	-3.82392332E+01	-3.85939134E+01	-3.91544194E+01	-3.92924425E+01	-3.94158284E+01	
-9.00000000E+01	-4.14143392E+01	-3.89290096E+01	-3.87050867E+01	-3.81858613E+01	-3.82142015E+01	-3.85542374E+01	-3.90917999E+01	-3.92236026E+01	-3.93397060E+01	
-8.90000000E+01	-4.15568897E+01	-3.90132832E+01	-3.88235890E+01	-3.83006928E+01	-3.83304658E+01	-3.86547766E+01	-3.91684416E+01	-3.92936228E+01	-3.94017003E+01	
-8.80000000E+01	-4.18794031E+01	-3.92385494E+01	-3.91005872E+01	-3.85635457E+01	-3.85896030E+01	-3.88968732E+01	-3.93854184E+01	-3.95032907E+01	-3.96026423E+01	
-8.70000000E+01	-4.23884012E+01	-3.96069647E+01	-3.95415143E+01	-3.89782454E+01	-3.89946630E+01	-3.92829956E+01	-3.97445373E+01	-3.98543268E+01	-3.99439475E+01	
-8.60000000E+01	-4.30950941E+01	-4.01212671E+01	-4.01555145E+01	-3.95509174E+01	-3.95499517E+01	-3.98163970E+01	-4.02481393E+01	-4.03485794E+01	-4.04269233E+01	
-8.50000000E+01	-4.40156025E+01	-4.07836354E+01	-4.09560588E+01	-4.02899122E+01	-4.02602919E+01	-4.05000935E+01	-4.08976672E+01	-4.09871212E+01	-4.10521926E+01	
-8.40000000E+01	-4.51704264E+01	-4.15934983E+01	-4.19618438E+01	-4.12052827E+01	-4.11293989E+01	-4.13348565E+01	-4.16916114E+01	-4.17676888E+01	-4.18166804E+01	
-8.30000000E+01	-4.65806196E+01	-4.25427652E+01	-4.31974009E+01	-4.23070981E+01	-4.21561550E+01	-4.23147826E+01	-4.26204611E+01	-4.26798186E+01	-4.27090829E+01	
-8.20000000E+01	-4.82522943E+01	-4.36067713E+01	-4.46922555E+01	-4.36004584E+01	-4.33263098E+01	-4.34182618E+01	-4.36578634E+01	-4.36961754E+01	-4.37015575E+01	
-8.10000000E+01	-5.01246726E+01	-4.47280623E+01	-4.64728437E+01	-4.50723491E+01	-4.45958006E+01	-4.45916254E+01	-4.47449545E+01	-4.47574815E+01	-4.47347450E+01	
-8.00000000E+01	-5.19313824E+01	-4.57958253E+01	-4.85278968E+01	-4.66599875E+01	-4.58626775E+01	-4.57260241E+01	-4.57722344E+01	-4.57554453E+01	-4.57032299E+01	
