Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.16000000E+02	-4.24753933E+01	-3.74743398E+01	-3.97564193E+01	-3.88648192E+01	-3.83359911E+01	-3.79060938E+01	-3.72497638E+01	-3.70136134E+01	-3.67561060E+01	
-1.15000000E+02	-3.67945540E+01	-3.34043947E+01	-3.49213799E+01	-3.43566660E+01	-3.40108501E+01	-3.37180522E+01	-3.32400913E+01	-3.30713523E+01	-3.28828820E+01	
-1.14000000E+02	-3.30243936E+01	-3.05327346E+01	-3.16467416E+01	-3.12428039E+01	-3.09914451E+01	-3.07773748E+01	-3.04037890E+01	-3.02729700E+01	-3.01232614E+01	
-1.13000000E+02	-3.03364961E+01	-2.83738842E+01	-2.92434475E+01	-2.89322241E+01	-2.87374609E+01	-2.85734157E+01	-2.82681431E+01	-2.81618309E+01	-2.80373314E+01	
-1.12000000E+02	-2.83283785E+01	-2.67094104E+01	-2.74146790E+01	-2.71631554E+01	-2.70061488E+01	-2.68768325E+01	-2.66200897E+01	-2.65313113E+01	-2.64250255E+01	
-1.11000000E+02	-2.68043913E+01	-2.54251422E+01	-2.60120199E+01	-2.58017491E+01	-2.56717240E+01	-2.55680765E+01	-2.53482717E+01	-2.52729960E+01	-2.51803288E+01	
-1.10000000E+02	-2.56600549E+01	-2.44565204E+01	-2.49533356E+01	-2.47731447E+01	-2.46634310E+01	-2.45798895E+01	-2.43896249E+01	-2.43248338E+01	-2.42431788E+01	
-1.09000000E+02	-2.48368577E+01	-2.37666645E+01	-2.41922203E+01	-2.40346427E+01	-2.39407042E+01	-2.38736333E+01	-2.37080668E+01	-2.36519852E+01	-2.35795381E+01	
-1.08000000E+02	-2.43030223E+01	-2.33365307E+01	-2.37036631E+01	-2.35634942E+01	-2.34822947E+01	-2.34291061E+01	-2.32854655E+01	-2.32365768E+01	-2.31722222E+01	
-1.07000000E+02	-2.40450725E+01	-2.31606788E+01	-2.34782045E+01	-2.33516323E+01	-2.32808805E+01	-2.32400881E+01	-2.31163658E+01	-2.30742752E+01	-2.30170818E+01	
-1.06000000E+02	-2.40641600E+01	-2.32462746E+01	-2.35196677E+01	-2.34037176E+01	-2.33419278E+01	-2.33126642E+01	-2.32083151E+01	-2.31726954E+01	-2.31224925E+01	
-1.05000000E+02	-2.43757655E+01	-2.36142048E+01	-2.38453096E+01	-2.37379931E+01	-2.36844181E+01	-2.36666840E+01	-2.35829488E+01	-2.35542202E+01	-2.35113425E+01	
-1.04000000E+02	-2.50113118E+01	-2.43036777E+01	-2.44890331E+01	-2.43892762E+01	-2.43442774E+01	-2.43394962E+01	-2.42806230E+01	-2.42595947E+01	-2.42248213E+01	
-1.03000000E+02	-2.60203435E+01	-2.53808706E+01	-2.55057851E+01	-2.54149533E+01	-2.53812487E+01	-2.53932589E+01	-2.53685662E+01	-2.53579520E+01	-2.53345005E+01	
-1.02000000E+02	-2.74648706E+01	-2.69532312E+01	-2.69750531E+01	-2.69007578E+01	-2.68870915E+01	-2.69258690E+01	-2.69597893E+01	-2.69652133E+01	-2.69597479E+01	
-1.01000000E+02	-2.93585295E+01	-2.91790669E+01	-2.89724076E+01	-2.89431292E+01	-2.89770899E+01	-2.90689201E+01	-2.92234420E+01	-2.92628556E+01	-2.92959257E+01	
-1.00000000E+02	-3.13347425E+01	-3.21256371E+01	-3.13230788E+01	-3.14332268E+01	-3.15992572E+01	-3.18136263E+01	-3.22658734E+01	-3.23881696E+01	-3.25221592E+01	
-9.90000000E+01	-3.18873763E+01	-3.44053529E+01	-3.25969145E+01	-3.29796620E+01	-3.33874622E+01	-3.37798482E+01	-3.47067271E+01	-3.49634180E+01	-3.52840040E+01	
-9.80000000E+01	-3.00293110E+01	-3.25339212E+01	-3.09293014E+01	-3.13544895E+01	-3.17581422E+01	-3.20710644E+01	-3.27460516E+01	-3.29122188E+01	-3.31229229E+01	
-9.70000000E+01	-2.73855026E+01	-2.90174507E+01	-2.80500924E+01	-2.83519717E+01	-2.86183642E+01	-2.87949422E+01	-2.91111117E+01	-2.91758888E+01	-2.92565656E+01	
-9.60000000E+01	-2.50271599E+01	-2.61106825E+01	-2.54850574E+01	-2.56989503E+01	-2.58823813E+01	-2.59941513E+01	-2.61555880E+01	-2.61825210E+01	-2.62134351E+01	
-9.50000000E+01	-2.31146153E+01	-2.38929506E+01	-2.34386787E+01	-2.36016945E+01	-2.37410380E+01	-2.38234608E+01	-2.39170680E+01	-2.39283999E+01	-2.39391724E+01	
-9.40000000E+01	-2.15965877E+01	-2.21959841E+01	-2.18342525E+01	-2.19669779E+01	-2.20817187E+01	-2.21496243E+01	-2.22100040E+01	-2.22144609E+01	-2.22157305E+01	
-9.30000000E+01	-2.04062055E+01	-2.08943294E+01	-2.05859358E+01	-2.06997086E+01	-2.07998348E+01	-2.08602944E+01	-2.09030096E+01	-2.09042978E+01	-2.09007490E+01	
-9.20000000E+01	-1.94915524E+01	-1.99074658E+01	-1.96308932E+01	-1.97322968E+01	-1.98235078E+01	-1.98801007E+01	-1.99134312E+01	-1.99131693E+01	-1.99071127E+01	
-9.10000000E+01	-1.88158021E+01	-1.91837697E+01	-1.89260688E+01	-1.90192571E+01	-1.91050026E+01	-1.91598651E+01	-1.91883237E+01	-1.91874978E+01	-1.91802727E+01	
-9.00000000E+01	-1.83536373E+01	-1.86897331E+01	-1.84425232E+01	-1.85302617E+01	-1.86129164E+01	-1.86673229E+01	-1.86938647E+01	-1.86930343E+01	-1.86853539E+01	
-8.90000000E+01	-1.80882459E+01	-1.84040071E+01	-1.81612730E+01	-1.82455634E+01	-1.83268082E+01	-1.83817070E+01	-1.84082664E+01	-1.84079449E+01	-1.84003667E+01	
-8.80000000E+01	-1.80092848E+01	-1.83137809E+01	-1.80706528E+01	-1.81530736E+01	-1.82343135E+01	-1.82904719E+01	-1.83186678E+01	-1.83190676E+01	-1.83120973E+01	
-8.70000000E+01	-1.81117016E+01	-1.84127452E+01	-1.81648707E+01	-1.82468107E+01	-1.83293374E+01	-1.83874191E+01	-1.84186632E+01	-1.84201873E+01	-1.84141702E+01	
-8.60000000E+01	-1.83951751E+01	-1.87004695E+01	-1.84432772E+01	-1.85261069E+01	-1.86112186E+01	-1.86719886E+01	-1.87078855E+01	-1.87108818E+01	-1.87062266E+01	
