Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.03000000E+02	-4.77379837E+01	-4.50992396E+01	-4.64822172E+01	-4.61318920E+01	-4.57163654E+01	-4.54148931E+01	-4.49522525E+01	-4.48306978E+01	-4.46841681E+01	
-1.02000000E+02	-4.74645521E+01	-4.48743889E+01	-4.62326426E+01	-4.58791497E+01	-4.54743764E+01	-4.51831664E+01	-4.47311888E+01	-4.46126715E+01	-4.44708981E+01	
-1.01000000E+02	-4.72614637E+01	-4.47197189E+01	-4.60534804E+01	-4.56972086E+01	-4.53021937E+01	-4.50207387E+01	-4.45803222E+01	-4.44652697E+01	-4.43283227E+01	
-1.00000000E+02	-4.71369651E+01	-4.46425606E+01	-4.59521612E+01	-4.55932187E+01	-4.52069990E+01	-4.49350061E+01	-4.45073608E+01	-4.43956868E+01	-4.42641273E+01	
-9.90000000E+01	-4.71014741E+01	-4.46524105E+01	-4.59380041E+01	-4.55764890E+01	-4.51983740E+01	-4.49353812E+01	-4.45216709E+01	-4.44141787E+01	-4.42879510E+01	
-9.80000000E+01	-4.71676426E+01	-4.47608823E+01	-4.60226125E+01	-4.56584344E+01	-4.52877971E+01	-4.50332769E+01	-4.46353630E+01	-4.45320638E+01	-4.44117149E+01	
-9.70000000E+01	-4.73502984E+01	-4.49817421E+01	-4.62197405E+01	-4.58526407E+01	-4.54890661E+01	-4.52426387E+01	-4.48618049E+01	-4.47633337E+01	-4.46495165E+01	
-9.60000000E+01	-4.76672937E+01	-4.53318711E+01	-4.65460505E+01	-4.61755857E+01	-4.58187978E+01	-4.55800498E+01	-4.52184426E+01	-4.51251046E+01	-4.50184738E+01	
-9.50000000E+01	-4.81406754E+01	-4.58321522E+01	-4.70222279E+01	-4.66476476E+01	-4.62975989E+01	-4.60662714E+01	-4.57261055E+01	-4.56389574E+01	-4.55403156E+01	
-9.40000000E+01	-4.87988899E+01	-4.65098445E+01	-4.76748836E+01	-4.72951186E+01	-4.69521460E+01	-4.67279429E+01	-4.64121988E+01	-4.63322610E+01	-4.62429357E+01	
-9.30000000E+01	-4.96805406E+01	-4.74023253E+01	-4.85401900E+01	-4.81537212E+01	-4.78185130E+01	-4.76017009E+01	-4.73147550E+01	-4.72436477E+01	-4.71654684E+01	
-9.20000000E+01	-5.08411855E+01	-4.85637533E+01	-4.96699473E+01	-4.92746285E+01	-4.89488447E+01	-4.87400908E+01	-4.84888846E+01	-4.84288928E+01	-4.83647666E+01	
-9.10000000E+01	-5.23660589E+01	-5.00790012E+01	-5.11437668E+01	-5.07363791E+01	-5.04237338E+01	-5.02248556E+01	-5.00214014E+01	-4.99765216E+01	-4.99316367E+01	
-9.00000000E+01	-5.43953052E+01	-5.20933758E+01	-5.30938673E+01	-5.26699093E+01	-5.23787347E+01	-5.21940419E+01	-5.20604725E+01	-5.20394374E+01	-5.20237418E+01	
-8.90000000E+01	-5.71729440E+01	-5.48885433E+01	-5.57620116E+01	-5.53157194E+01	-5.50682786E+01	-5.49103047E+01	-5.49004433E+01	-5.49206940E+01	-5.49574051E+01	
-8.80000000E+01	-6.10646702E+01	-5.91090587E+01	-5.96233458E+01	-5.91607848E+01	-5.90374320E+01	-5.89511433E+01	-5.92193643E+01	-5.93407814E+01	-5.95017153E+01	
-8.70000000E+01	-6.50760902E+01	-6.61017051E+01	-6.50313677E+01	-6.47700608E+01	-6.51777370E+01	-6.54046633E+01	-6.64828972E+01	-6.69291967E+01	-6.74809818E+01	
-8.60000000E+01	-6.28647021E+01	-6.48936661E+01	-6.46004534E+01	-6.48186356E+01	-6.50930414E+01	-6.51735105E+01	-6.46477141E+01	-6.44584595E+01	-6.41675971E+01	
-8.50000000E+01	-5.86993974E+01	-5.85567803E+01	-5.94501478E+01	-5.94004369E+01	-5.91801519E+01	-5.89997171E+01	-5.83068656E+01	-5.80927648E+01	-5.78243975E+01	
-8.40000000E+01	-5.56973173E+01	-5.48169561E+01	-5.59265208E+01	-5.57532834E+01	-5.54377041E+01	-5.52172060E+01	-5.46059229E+01	-5.44221221E+01	-5.41966336E+01	
-8.30000000E+01	-5.35773964E+01	-5.23570460E+01	-5.35390134E+01	-5.33044586E+01	-5.29579290E+01	-5.27255794E+01	-5.21701535E+01	-5.20048185E+01	-5.18051438E+01	
-8.20000000E+01	-5.20451148E+01	-5.06216197E+01	-5.18449731E+01	-5.15718717E+01	-5.12092810E+01	-5.09700579E+01	-5.04490529E+01	-5.02961446E+01	-5.01117168E+01	
-8.10000000E+01	-5.09318857E+01	-4.93609684E+01	-5.06198383E+01	-5.03178901E+01	-4.99427982E+01	-4.96976665E+01	-4.91973491E+01	-4.90522984E+01	-4.88776528E+01	
-8.00000000E+01	-5.01388271E+01	-4.84442755E+01	-4.97404350E+01	-4.94138348E+01	-4.90268962E+01	-4.87750743E+01	-4.82858696E+01	-4.81462029E+01	-4.79772932E+01	
-7.90000000E+01	-4.96038464E+01	-4.77939527E+01	-4.91329079E+01	-4.87834539E+01	-4.83833979E+01	-4.81238690E+01	-4.76386272E+01	-4.75015335E+01	-4.73357128E+01	
-7.80000000E+01	-4.92851743E+01	-4.73602771E+01	-4.87491085E+01	-4.83773485E+01	-4.79620968E+01	-4.76934658E+01	-4.72048738E+01	-4.70695464E+01	-4.69042584E+01	
-7.70000000E+01	-4.91525399E+01	-4.71086455E+01	-4.85558248E+01	-4.81614238E+01	-4.77285649E+01	-4.74492581E+01	-4.69520091E+01	-4.68155612E+01	-4.66491911E+01	
-7.60000000E+01	-4.91820223E+01	-4.70137476E+01	-4.85278488E+01	-4.81106393E+01	-4.76573363E+01	-4.73658432E+01	-4.68526265E+01	-4.67147756E+01	-4.65450493E+01	
