Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	
-4.10000000E+01	-4.50598321E+01	-4.28331205E+01	-4.43595807E+01	-4.39972699E+01	-4.35694779E+01	-4.32141687E+01	
-4.00000000E+01	-4.52880978E+01	-4.30673059E+01	-4.46242175E+01	-4.42597481E+01	-4.38174123E+01	-4.34561884E+01	
-3.90000000E+01	-4.55805143E+01	-4.33699885E+01	-4.49584553E+01	-4.45925146E+01	-4.41349001E+01	-4.37673016E+01	
-3.80000000E+01	-4.59361883E+01	-4.37412889E+01	-4.53622625E+01	-4.49965111E+01	-4.45232752E+01	-4.41479023E+01	
-3.70000000E+01	-4.63544744E+01	-4.41818618E+01	-4.58372876E+01	-4.54730540E+01	-4.49824310E+01	-4.45992958E+01	
-3.60000000E+01	-4.68352761E+01	-4.46938069E+01	-4.63850280E+01	-4.60243816E+01	-4.55158502E+01	-4.51232401E+01	
-3.50000000E+01	-4.73785807E+01	-4.52804469E+01	-4.70081349E+01	-4.66544619E+01	-4.61265317E+01	-4.57237361E+01	
-3.40000000E+01	-4.79849544E+01	-4.59458073E+01	-4.77102087E+01	-4.73679881E+01	-4.68194502E+01	-4.64046947E+01	
-3.30000000E+01	-4.86550141E+01	-4.66966008E+01	-4.84972961E+01	-4.81723751E+01	-4.76017365E+01	-4.71736079E+01	
-3.20000000E+01	-4.93893758E+01	-4.75412225E+01	-4.93755166E+01	-4.90772677E+01	-4.84842116E+01	-4.80401747E+01	
-3.10000000E+01	-5.01888067E+01	-4.84924870E+01	-5.03544036E+01	-5.00959899E+01	-4.94795059E+01	-4.90168391E+01	
-3.00000000E+01	-5.10528436E+01	-4.95669720E+01	-5.14445614E+01	-5.12466957E+01	-5.06077610E+01	-5.01235238E+01	
-2.90000000E+01	-5.19795103E+01	-5.07904826E+01	-5.26584119E+01	-5.25543515E+01	-5.18973840E+01	-5.13861408E+01	
-2.80000000E+01	-5.29628545E+01	-5.21981602E+01	-5.40098253E+01	-5.40528947E+01	-5.33886555E+01	-5.28448851E+01	
-2.70000000E+01	-5.39897695E+01	-5.38458494E+01	-5.55030587E+01	-5.57879212E+01	-5.51486177E+01	-5.45630213E+01	
-2.60000000E+01	-5.50347206E+01	-5.58250548E+01	-5.71226211E+01	-5.78129909E+01	-5.72815659E+01	-5.66447257E+01	
-2.50000000E+01	-5.60521770E+01	-5.82959413E+01	-5.87807562E+01	-6.01563940E+01	-5.99709751E+01	-5.92775192E+01	
-2.40000000E+01	-5.69703266E+01	-6.15707826E+01	-6.02352692E+01	-6.26417651E+01	-6.35462471E+01	-6.28461989E+01	
-2.30000000E+01	-5.76934225E+01	-6.63143245E+01	-6.10554302E+01	-6.43488463E+01	-6.82497602E+01	-6.81768052E+01	
-2.20000000E+01	-5.81269611E+01	-7.21716092E+01	-6.09148838E+01	-6.39080794E+01	-6.99502807E+01	-7.30357321E+01	
-2.10000000E+01	-5.82213531E+01	-6.83852665E+01	-6.00033758E+01	-6.19750469E+01	-6.57243083E+01	-6.74208044E+01	
-2.00000000E+01	-5.80022591E+01	-6.34246142E+01	-5.87682434E+01	-5.98951739E+01	-6.20715957E+01	-6.28742453E+01	
-1.90000000E+01	-5.75531690E+01	-6.01867696E+01	-5.75130384E+01	-5.80943373E+01	-5.94568398E+01	-5.98930902E+01	
-1.80000000E+01	-5.69705653E+01	-5.78891462E+01	-5.63566733E+01	-5.65941523E+01	-5.74970192E+01	-5.77447897E+01	
-1.70000000E+01	-5.63316733E+01	-5.61414655E+01	-5.53294111E+01	-5.53427416E+01	-5.59569036E+01	-5.60927227E+01	
-1.60000000E+01	-5.56867247E+01	-5.47490289E+01	-5.44250818E+01	-5.42858129E+01	-5.47055969E+01	-5.47674267E+01	
-1.50000000E+01	-5.50636685E+01	-5.36037309E+01	-5.36310866E+01	-5.33826263E+01	-5.36616761E+01	-5.36717104E+01	
-1.40000000E+01	-5.44760791E+01	-5.26391859E+01	-5.29312311E+01	-5.26012217E+01	-5.27737173E+01	-5.27458815E+01	
-1.30000000E+01	-5.39288058E+01	-5.18125389E+01	-5.23107237E+01	-5.19179156E+01	-5.20069485E+01	-5.19500424E+01	
-1.20000000E+01	-5.34223561E+01	-5.10930237E+01	-5.17575077E+01	-5.13148908E+01	-5.13359199E+01	-5.12559183E+01	
-1.10000000E+01	-5.29547499E+01	-5.04593430E+01	-5.12616847E+01	-5.07780806E+01	-5.07423185E+01	-5.06436505E+01	
-1.00000000E+01	-5.25228015E+01	-4.98948489E+01	-5.08141430E+01	-5.02963549E+01	-5.02118774E+01	-5.00979385E+01	
-9.00000000E+00	-5.21233552E+01	-4.93875653E+01	-5.04079936E+01	-4.98607839E+01	-4.97336242E+01	-4.96068589E+01	
-8.00000000E+00	-5.17529237E+01	-4.89274195E+01	-5.00371274E+01	-4.94642614E+01	-4.92991902E+01	-4.91611969E+01	
-7.00000000E+00	-5.14083416E+01	-4.85064879E+01	-4.96962963E+01	-4.91006110E+01	-4.89009971E+01	-4.87533944E+01	
-6.00000000E+00	-5.10866539E+01	-4.81184641E+01	-4.93815099E+01	-4.87648558E+01	-4.85334873E+01	-4.83773461E+01	
-5.00000000E+00	-5.07851610E+01	-4.77581484E+01	-4.90886263E+01	-4.84528410E+01	-4.81917536E+01	-4.80279734E+01	
-4.00000000E+00	-5.05015029E+01	-4.74209081E+01	-4.88148166E+01	-4.81610388E+01	-4.78718446E+01	-4.77009438E+01	
-3.00000000E+00	-5.02335939E+01	-4.71031591E+01	-4.85570173E+01	-4.78862454E+01	-4.75703880E+01	-4.73927913E+01	
-2.00000000E+00	-4.99795517E+01	-4.68017021E+01	-4.83130189E+01	-4.76260245E+01	-4.72842887E+01	-4.71004442E+01	
-1.00000000E+00	-4.97377879E+01	-4.65140537E+01	-4.80808228E+01	-4.73780663E+01	-4.70112823E+01	-4.68213717E+01	
0.00000000E+00	-4.95069419E+01	-4.62378822E+01	-4.78586432E+01	-4.71404658E+01	-4.67492095E+01	-4.65534544E+01	
1.00000000E+00	-4.92857469E+01	-4.59714447E+01	-4.76450084E+01	-4.69116704E+01	-4.64964068E+01	-4.62948180E+01	
2.00000000E+00	-4.90732128E+01	-4.57131357E+01	-4.74386474E+01	-4.66902961E+01	-4.62514921E+01	-4.60440868E+01	
3.00000000E+00	-4.88685412E+01	-4.54618059E+01	-4.72385427E+01	-4.64753049E+01	-4.60133576E+01	-4.58000490E+01	
