Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-6.00000000E+01	-3.91033550E+01	-3.98748096E+01	-3.98342986E+01	-3.96832940E+01	-3.95591240E+01	-3.94255585E+01	-3.91925745E+01	
-5.90000000E+01	-3.96710117E+01	-4.03558975E+01	-4.03077661E+01	-4.01875647E+01	-4.00805536E+01	-3.99607110E+01	-3.97528241E+01	
-5.80000000E+01	-4.03390342E+01	-4.09177657E+01	-4.08613561E+01	-4.07780810E+01	-4.06898458E+01	-4.05888061E+01	-4.04124177E+01	
-5.70000000E+01	-4.10630431E+01	-4.15264929E+01	-4.14585369E+01	-4.14162454E+01	-4.13454033E+01	-4.12672983E+01	-4.11262784E+01	
-5.60000000E+01	-4.17823366E+01	-4.21362665E+01	-4.20524772E+01	-4.20510446E+01	-4.19914750E+01	-4.19384175E+01	-4.18342398E+01	
-5.50000000E+01	-4.24193680E+01	-4.26924671E+01	-4.25865035E+01	-4.26227333E+01	-4.25605702E+01	-4.25325506E+01	-4.24613898E+01	
-5.40000000E+01	-4.28939173E+01	-4.31367429E+01	-4.30027749E+01	-4.30666493E+01	-4.29840513E+01	-4.29762846E+01	-4.29279610E+01	
-5.30000000E+01	-4.31382173E+01	-4.34194024E+01	-4.32528491E+01	-4.33289729E+01	-4.32054063E+01	-4.32095216E+01	-4.31680203E+01	
-5.20000000E+01	-4.31194489E+01	-4.35109780E+01	-4.33095592E+01	-4.33793511E+01	-4.31978589E+01	-4.32032305E+01	-4.31512672E+01	
-5.10000000E+01	-4.28553688E+01	-4.34110138E+01	-4.31747532E+01	-4.32223848E+01	-4.29724377E+01	-4.29692021E+01	-4.28909360E+01	
